"Academy","#Athlete","% Athlete","#Gold","#Silver","#Bonze","% Success","#Score"
"ZERJAL TEAM","5","0.0014128284826222096","1","0","2","0.6","3539.0"
"CIA PAULISTA","1","0.00028256569652444194","0","0","1","1.0","3539.0"
"OFFICINE JIU-JITSU","3","0.0008476970895733258","0","0","0","0.0","0.0"
"REINALDO RIBEIRO TEAM","12","0.003390788358293303","1","0","1","0.16666666666666666","1179.6666666666667"
"ZENITH BJJ INTERNATIONAL","1","0.00028256569652444194","0","0","0","0.0","0.0"
"BRAZILIAN POWER TEAM","38","0.010737496467928794","2","2","3","0.18421052631578946","1210.7105263157894"
"FABRICIO WERDUM JJ","8","0.0022605255721955355","0","1","0","0.125","884.75"
"BALANCE","1","0.00028256569652444194","0","0","0","0.0","0.0"
"COELHAO JIU-JITSU","12","0.003390788358293303","1","0","0","0.08333333333333333","884.75"
"JORDAN TEAM","1","0.00028256569652444194","0","0","0","0.0","0.0"
"ICON JIU-JITSU TEAM 3","5","0.0014128284826222096","0","0","0","0.0","0.0"
"ICON JIU-JITSU TEAM 2","30","0.008476970895733259","1","0","3","0.13333333333333333","707.8"
"IMPACT JIU JITSU","1","0.00028256569652444194","0","0","0","0.0","0.0"
"ROGER GRACIE ESPAA","1","0.00028256569652444194","0","1","0","1.0","7078.0"
"OVER LIMIT BJJ","2","0.0005651313930488839","0","0","0","0.0","0.0"
"NEW FORCE UK","1","0.00028256569652444194","0","0","0","0.0","0.0"
"IMPACTO JAPAN B.J.J.","9","0.002543091268719977","1","2","3","0.6666666666666666","3932.2222222222226"
"FRONTLINE ACADEMY","36","0.010172365074879909","2","1","4","0.19444444444444445","1179.6666666666667"
"MIRKOVIC BJJ","2","0.0005651313930488839","0","0","0","0.0","0.0"
"FIGHT SPORTS","1","0.00028256569652444194","0","0","0","0.0","0.0"
"EASTON BJJ","1","0.00028256569652444194","0","0","0","0.0","0.0"
"GF TEAM FRANCE","20","0.005651313930488839","0","2","3","0.25","1238.65"
"Z1 ANGOLA","6","0.0016953941791466515","1","1","0","0.3333333333333333","2949.166666666667"
"GRACIE BARRA ACADEMY","8","0.0022605255721955355","0","0","0","0.0","0.0"
"RAC JIU JITSU / AVEIRO","2","0.0005651313930488839","0","0","0","0.0","0.0"
"RICK YOUNG BJJ ACADEMY","7","0.0019779598756710934","1","2","1","0.5714285714285714","4044.571428571429"
"GRACIE HUMAITA USA","1","0.00028256569652444194","1","0","0","1.0","10617.0"
"FRONTLINE ACADEMY DRAMMEN","1","0.00028256569652444194","0","0","0","0.0","0.0"
